batteryMilliWatts,batteryMilliAmps,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
-0.06828,-0.55,1,12.412,5.0,9.8015,9.9
-0.06997,-0.564,1,12.404,5.0,9.7969,9.9
-0.06997,-0.564,1,12.402,5.0,9.7932,9.9
-0.07006,-0.565,1,12.397,5.0,9.7899,9.9
-0.06987,-0.563,1,12.392,5.0,9.7868,9.9
-0.06957,-0.561,1,12.387,5.0,9.7835,9.9
-0.06908,-0.557,1,12.387,5.0,9.7801,9.9
-0.06951,-0.561,1,12.383,5.0,9.7767,9.9
-0.0683,-0.551,1,12.381,5.0,9.7726,9.9
-0.06874,-0.555,1,12.374,5.0,9.7685,9.9
-0.06844,-0.553,1,12.371,5.0,9.7642,9.9
-0.06888,-0.557,1,12.366,5.0,9.7601,9.9
-0.06839,-0.553,1,12.362,5.0,9.7556,9.9
-0.06871,-0.555,1,12.362,5.0,9.7515,9.9
-0.06882,-0.557,1,12.355,5.0,9.7473,9.9
-0.0682,-0.552,1,12.35,5.0,9.7425,9.9
-0.06839,-0.553,1,12.345,5.0,9.7379,9.9
-0.06822,-0.552,1,12.343,5.0,9.7333,9.9
-0.06804,-0.551,1,12.339,5.0,9.7285,9.9
-0.06799,-0.551,1,12.331,5.0,9.7235,9.9
-0.06766,-0.548,1,12.331,5.0,9.7185,9.9
-0.06778,-0.549,1,12.325,5.0,9.7136,9.9
-0.06728,-0.546,1,12.322,5.0,9.7084,9.9
-0.06774,-0.549,1,12.317,5.0,9.7037,9.9
-0.06715,-0.545,1,12.313,5.0,9.6985,9.9
-0.06744,-0.547,1,12.313,5.0,9.6947,9.9
-0.06675,-0.542,1,12.309,5.0,9.6902,9.9
-0.06654,-0.54,1,12.303,5.0,9.6853,9.9
-0.06676,-0.543,1,12.294,5.0,9.6804,9.9
-0.06638,-0.539,1,12.293,5.0,9.6754,9.9
-0.06687,-0.544,1,12.29,5.0,9.671,9.9
-0.06668,-0.542,1,12.284,5.0,9.6663,9.9
-0.06615,-0.538,1,12.278,5.0,9.661,9.9
-0.06617,-0.539,1,12.276,5.0,9.656,9.9
-0.06684,-0.544,1,12.271,5.0,9.6517,9.9
-0.06633,-0.54,1,12.265,5.0,9.6468,9.9
-0.06572,-0.535,1,12.264,5.0,9.6414,9.9
-0.06601,-0.538,1,12.257,5.0,9.6364,9.9
-0.06592,-0.538,1,12.253,5.0,9.6314,9.9
-0.06595,-0.538,1,12.251,5.0,9.6266,9.9
-0.06547,-0.534,1,12.244,5.0,9.6212,9.9
-0.06585,-0.538,1,12.24,5.0,9.6164,9.9
-0.06553,-0.535,1,12.237,5.0,9.6114,9.9
-0.0657,-0.537,1,12.233,5.0,9.6067,9.9
-0.0642,-0.525,1,12.228,5.0,9.5999,9.9
-0.067,-0.548,1,12.218,5.0,9.5967,9.9
-0.06404,-0.524,1,12.217,5.0,9.5904,9.9
-0.06293,-0.515,1,12.215,5.0,9.5826,9.9
-0.06372,-0.521,1,12.208,5.0,9.5767,9.9
-0.06332,-0.518,1,12.204,5.0,9.5704,9.9
-0.06216,-0.509,1,12.202,5.0,9.5625,9.9
-0.06206,-0.508,1,12.199,5.0,9.5552,9.9
-0.06226,-0.51,1,12.195,5.0,9.5489,9.9
-0.06172,-0.506,1,12.19,5.0,9.5419,9.9
-0.0646,-0.53,1,12.183,5.0,9.5386,9.9
-0.06606,-0.542,1,12.178,5.0,9.5354,9.9
-0.06404,-0.526,1,12.171,5.0,9.5308,9.9
-0.06394,-0.525,1,12.169,5.0,9.5263,9.9
-0.06362,-0.523,1,12.162,5.0,9.5212,9.9
-0.06371,-0.523,1,12.162,5.0,9.5166,9.9
-0.06397,-0.526,1,12.158,5.0,9.5123,9.9
-0.06335,-0.521,1,12.152,5.0,9.5071,9.9
-0.06336,-0.521,1,12.146,5.0,9.5019,9.9
-0.06329,-0.521,1,12.14,5.0,9.4889,9.9
-0.06338,-0.522,1,12.136,5.0,9.4775,9.9
-0.06311,-0.52,1,12.133,5.0,9.4658,9.9
-0.0631,-0.52,1,12.126,5.0,9.4543,9.9
-0.06249,-0.515,1,12.126,5.0,9.4423,9.9
-0.06262,-0.516,1,12.123,5.0,9.4325,9.9
-0.06261,-0.516,1,12.119,5.0,9.4237,9.9
-0.06196,-0.511,1,12.118,5.0,9.414,9.9
-0.06222,-0.513,1,12.109,5.0,9.4054,9.9
-0.06261,-0.517,1,12.105,5.0,9.3987,9.9
-0.06157,-0.508,1,12.102,5.0,9.4039,9.9
-0.06093,-0.503,1,12.098,5.0,9.3897,9.9
-0.06086,-0.503,1,12.095,5.0,9.3946,9.9
-0.03396,-0.279,1,12.16,5.0,9.1974,9.9
-0.04747,-0.391,1,12.12,5.0,9.1782,9.9
-0.05884,-0.486,1,12.089,5.0,9.1744,9.9
-0.06049,-0.5,1,12.082,5.0,9.1674,9.9
-0.06224,-0.515,1,12.072,5.0,9.1583,9.9
-0.06218,-0.515,1,12.068,5.0,9.1524,9.9
-0.06222,-0.515,1,12.064,5.0,9.148,9.9
-0.06165,-0.511,1,12.059,5.0,9.145,9.9
-0.06088,-0.505,1,12.053,5.0,9.1423,9.9
-0.05994,-0.497,1,12.054,5.0,9.1387,9.9
-0.05753,-0.477,1,12.052,5.0,9.1307,9.9
-0.06455,-0.536,1,12.028,5.0,9.125,9.9
-0.05991,-0.498,1,12.029,5.0,9.1197,9.9
-0.05766,-0.479,1,12.029,5.0,9.1093,9.9
-0.0128,-0.105,1,12.163,5.0,8.4216,6.9
-0.01131,-0.092,1,12.172,5.0,7.7267,5.2
-0.00924,-0.075,1,12.181,5.0,7.4035,5.2
-0.0867,-0.725,1,11.953,5.0,7.3191,5.2
-0.0867,-0.725,1,11.953,5.0,7.2875,5.2
-0.06823,-0.571,1,11.948,5.0,7.2815,5.2
-0.06823,-0.571,1,11.948,5.0,7.2759,5.2
-0.04712,-0.393,1,11.968,5.0,7.2138,5.2
-0.04712,-0.393,1,11.968,5.0,7.1621,5.2
-0.03451,-0.287,1,11.991,5.0,7.059,5.2
-0.03451,-0.287,1,11.991,5.0,6.9745,5.2
-0.01975,-0.164,1,12.027,5.0,6.6705,4.3
-0.01975,-0.164,1,12.027,5.0,6.552,4.3
-0.00122,-0.01,1,12.135,5.0,6.3648,4.7
-0.00122,-0.01,1,12.135,5.0,6.2232,4.7
0.06896,0.553,1,12.467,5.0,5.9539,5.1
0.07667,0.604,1,12.677,5.0,5.9227,5.9
0.09102,0.712,1,12.771,5.0,5.9208,6.1
0.08858,0.694,1,12.753,5.0,5.9205,6.7
0.0775,0.609,1,12.722,5.0,5.9274,6.9
0.08791,0.69,1,12.728,5.0,5.926,7.1
0.09635,0.754,1,12.763,5.0,5.9281,7.2
0.10854,0.849,1,12.772,5.0,5.9332,7.2
0.09127,0.716,1,12.746,5.0,5.938,7.2
0.09664,0.757,1,12.764,5.0,5.9425,7.2
0.11997,0.937,1,12.795,5.0,5.9538,7.2
0.10651,0.833,1,12.781,5.0,5.9588,7.2
0.10821,0.845,1,12.795,5.0,5.9641,7.2
0.11847,0.924,1,12.821,5.0,5.9703,7.2
0.1269,0.988,1,12.838,5.0,5.978,7.2
0.12929,1.005,1,12.854,5.0,5.9848,7.2
0.13526,1.05,1,12.874,5.0,5.9919,7.2
0.17001,1.315,1,12.926,5.0,6.0462,7.2
0.17045,1.317,1,12.937,5.0,6.0646,7.2
0.14514,1.123,1,12.92,5.0,6.0678,7.2
0.15644,1.207,1,12.95,5.0,6.0742,7.2
0.16097,1.24,1,12.972,5.0,6.0814,7.2
0.16343,1.257,1,12.996,5.0,6.0889,7.2
0.1643,1.263,1,13.005,5.0,6.0968,7.2
0.16667,1.28,1,13.019,5.0,6.1049,7.2
0.17093,1.31,1,13.041,5.0,6.1132,7.2
0.17648,1.35,1,13.069,5.0,6.1218,7.2
0.17796,1.36,1,13.079,5.0,6.1305,7.2
0.18999,1.448,1,13.12,5.0,6.1398,7.2
0.20009,1.521,1,13.151,5.0,6.1497,7.2
0.19135,1.458,1,13.116,5.0,6.159,7.2
0.18414,1.396,1,13.185,5.0,6.1705,7.2
0.13465,1.034,1,13.012,5.0,6.1894,7.2
0.16415,1.248,1,13.148,5.0,6.1993,7.2
0.11661,0.894,1,13.031,5.0,6.225,7.2
0.15331,1.164,1,13.169,5.0,6.2332,7.2
0.1897,1.435,1,13.211,5.0,6.2488,7.2
0.23704,1.775,1,13.349,5.0,6.2734,7.2
0.24755,1.847,1,13.399,5.0,6.2882,7.2
0.22728,1.699,1,13.376,5.0,6.2997,7.2
0.2194,1.64,1,13.376,5.0,6.3114,7.2
0.22686,1.691,1,13.415,5.0,6.3227,7.2
0.24137,1.79,1,13.481,5.0,6.3343,7.2
0.08432,0.646,1,13.052,5.0,6.4504,7.2
0.25558,1.884,1,13.56,5.0,6.454,7.2
0.11087,0.845,1,13.116,5.0,6.5717,7.2
0.04275,0.33,1,12.946,5.0,6.6936,7.2
0.03783,0.292,1,12.925,5.0,6.7983,7.2
0.03895,0.301,1,12.92,5.0,6.8725,7.3
0.03916,0.303,1,12.918,5.0,6.9334,7.3
0.04017,0.31,1,12.928,5.0,7.0564,7.3
0.03065,0.237,1,12.911,5.0,7.1055,7.3
0.035,0.271,1,12.915,5.0,7.1359,7.3
0.03048,0.236,1,12.895,5.0,7.1681,7.4
0.03529,0.273,1,12.908,5.0,7.1889,7.5
0.0427,0.33,1,12.936,5.0,7.1993,7.5
0.04126,0.318,1,12.95,5.0,7.2103,7.5
0.04596,0.354,1,12.965,5.0,7.2162,7.5
0.20662,1.535,1,13.46,5.0,7.3891,7.6
0.22981,1.691,1,13.584,5.0,7.3939,7.6
0.20037,1.477,1,13.564,5.0,7.4104,7.6
0.17121,1.276,1,13.415,5.0,7.4212,7.6
0.21759,1.587,1,13.702,5.0,7.4291,7.6
0.21249,1.55,1,13.702,5.0,7.4397,7.6
0.20056,1.464,1,13.693,5.0,7.4528,7.6
0.16655,1.223,1,13.61,5.0,7.4794,7.6
0.02675,0.205,1,13.006,5.0,7.6626,9.2
0.0097,0.075,1,12.917,5.0,7.7374,10.0
0.15474,1.151,1,13.436,5.0,7.7573,10.0
0.16254,1.193,1,13.618,5.0,7.7526,10.0
0.11731,0.886,1,13.23,5.0,7.7548,10.0
0.01814,0.14,1,12.947,5.0,7.818,10.0
0.16027,1.172,1,13.673,5.0,7.8176,10.0
0.15312,1.119,1,13.679,5.0,7.8235,10.0
0.15481,1.126,1,13.738,5.0,7.8306,10.0
0.14943,1.085,1,13.76,5.0,7.8399,10.0
0.14093,1.022,3,13.781,5.0,7.8524,10.0
0.13114,0.951,3,13.78,5.0,7.8681,10.0
0.04055,0.307,3,13.197,5.0,9.9811,10.0
0.12469,0.904,3,13.782,5.0,10.0,10.0
0.10037,0.733,3,13.692,5.0,10.0,10.0
0.05936,0.446,3,13.295,5.0,9.99,10.0
0.05755,0.432,3,13.306,5.0,9.991,10.0
0.03868,0.293,3,13.169,5.0,9.9876,10.0
0.04075,0.308,3,13.214,5.0,9.9892,10.0
0.04331,0.327,3,13.231,5.0,9.9899,10.0
0.04319,0.326,3,13.222,5.0,9.9898,10.0
0.03092,0.234,1,13.161,5.0,10.0,10.0
0.02754,0.209,1,13.131,5.0,10.0,10.0
0.03117,0.237,1,13.142,5.0,10.0,10.0
0.03038,0.231,1,13.149,5.0,10.0,10.0
0.02556,0.194,1,13.147,5.0,10.0,10.0
0.02479,0.189,1,13.118,5.0,10.0,10.0
0.02375,0.181,1,13.11,5.0,10.0,10.0
